FAQ questions,FAQ answers,modifiert question,type change
Welche Produkte kann ich über die Pentagast-Subvention kaufen?,"Die Subvention gilt ausschließlich für Geräte, die Du bei einem Pentagast-Partner kaufst.",Welche prodckte kann ich ueber pentagast subbvention kaufen,fehler
Welche Produkte kann ich über die Pentagast-Subvention kaufen?,"Die Subvention gilt ausschließlich für Geräte, die Du bei einem Pentagast-Partner kaufst.",was für produkte kann ich mit pentagast-subvention kaufen..?!,fehler
Warum bekomme ich an der Kasse die Meldung „Kartenversion ist falsch“?,"Bitte aktualisiere Deine digitale Karte indem Du die Karte in der App öffnest und dann einen Pull-to-refresh durchführst. Dazu halte deinen Finger auf die Karte und ziehe ihn dann nach unten. Wenn es weiterhin Schwierigkeiten gibt, wende Dich bitte an unsere Service-Hotline.","WARUM bekomm ich immer an der kashe die melung ""karten vesrion ist falsch""??!",fehler
Warum bekomme ich an der Kasse die Meldung „Kartenversion ist falsch“?,"Bitte aktualisiere Deine digitale Karte indem Du die Karte in der App öffnest und dann einen Pull-to-refresh durchführst. Dazu halte deinen Finger auf die Karte und ziehe ihn dann nach unten. Wenn es weiterhin Schwierigkeiten gibt, wende Dich bitte an unsere Service-Hotline.",warum bekomme ich an der kasce die mledung „karten version ist falsh“ ??,fehler
Wo finde ich meine Rechnungen?,"Gehe auf den Menüpunkt „Mehr“, dort findest Du im oberen Bereich Deine Rechnungen. Du siehst zunächst eine Übersicht Deiner letzten Rechnungen und kannst diese per Klick auch im Detail noch einmal ansehen.",WO FINDE ICH MIENE RECHNUNGS???!,fehler
Wo finde ich meine Rechnungen?,"Gehe auf den Menüpunkt „Mehr“, dort findest Du im oberen Bereich Deine Rechnungen. Du siehst zunächst eine Übersicht Deiner letzten Rechnungen und kannst diese per Klick auch im Detail noch einmal ansehen.",wo kann ich meine rchnngen finden??,fehler
Warum finde ich bei Android nicht dieselben Funktionen wie bei Apple?,"Die App wird für iOS und Android separat entwickelt. Eine Funktion wird zuerst bei iOS eingespielt und für Android erscheint das Update etwas zeitverzögert. Daher ist es üblich, dass beide Versionen einen unterschiedlichen Funktionsumfang enthalten. I.d.R. beträgt das Zeitfenster nur wenige Tage oder Wochen bis die Funktionen auch für Android-Geräte verfügbar sind. Am besten stellst Du Dein Smartphone auf automatische Updates um, sodass sich die App selbstständig aktualisiert.",Es gibt Unterschiede zwischen Android- und Apple-Funktionen.,keinFrage
Warum finde ich bei Android nicht dieselben Funktionen wie bei Apple?,"Die App wird für iOS und Android separat entwickelt. Eine Funktion wird zuerst bei iOS eingespielt und für Android erscheint das Update etwas zeitverzögert. Daher ist es üblich, dass beide Versionen einen unterschiedlichen Funktionsumfang enthalten. I.d.R. beträgt das Zeitfenster nur wenige Tage oder Wochen bis die Funktionen auch für Android-Geräte verfügbar sind. Am besten stellst Du Dein Smartphone auf automatische Updates um, sodass sich die App selbstständig aktualisiert.","Ich vermisse bestimmte Funktionen auf meinem Android-Gerät, die auf Apple-Geräten verfügbar sind.",keinFrage
Kann ich im Großmarkt einkaufen?,"Als Geschäftskunde kannst Du im METRO Großmarkt einkaufen. Hier findest Du weitere Informationen, wie Du Kunde werden und im Markt einkaufen kannst.  ",Im Großmarkt einkaufen wäre für mich eine praktische Lösung.,keinFrage
Kann ich im Großmarkt einkaufen?,"Als Geschäftskunde kannst Du im METRO Großmarkt einkaufen. Hier findest Du weitere Informationen, wie Du Kunde werden und im Markt einkaufen kannst.  ",Ich interessiere mich für die Einkaufsmöglichkeiten im Großmarkt.,keinFrage
Wie bestelle ich im M.Shop?,"Um im M.Shop zu bestellen, musst Du für unseren Lieferservice für Gastronomie und Lebensmittelprofis registriert sein.  Wenn Du noch kein Lieferkunde bist, findest Du alle Infos zur Registrierung hier.     Du bist bereits Lieferkunde?  Super! Dann kannst Du direkt im M.Shop einkaufen: Zum M.Shop     Falls Du noch kein digitales Konto hast, kannst Du Dich hier registrieren. Vergiss nicht, Deine bestehende METRO Karte mit Deinem neuen digitalen Profil zu verknüpfen.     Du kannst Deine Bestellung auch ganz bequem über die METRO App aufgeben:  App herunterladen      Produkte suchen: Nutze die Suchleiste oder die Kategorien, um Deine gewünschten Artikel zu finden.  In den Warenkorb legen: Klicke auf das Einkaufswagen-Symbol neben dem Produkt.  Bestellung abschließen: Gehe zum Warenkorb und von dort aus ""zur Kasse"". Folge den Schritten, um deine Bestellung abzusenden.  Bestellung verfolgen: Im Bereich „Meine Bestellungen“ kannst Du den Status Deiner Lieferung jederzeit einsehen.",Ich benötige Anleitung für die Bestellung im M.Shop.,keinFrage
Wie bestelle ich im M.Shop?,"Um im M.Shop zu bestellen, musst Du für unseren Lieferservice für Gastronomie und Lebensmittelprofis registriert sein.  Wenn Du noch kein Lieferkunde bist, findest Du alle Infos zur Registrierung hier.     Du bist bereits Lieferkunde?  Super! Dann kannst Du direkt im M.Shop einkaufen: Zum M.Shop     Falls Du noch kein digitales Konto hast, kannst Du Dich hier registrieren. Vergiss nicht, Deine bestehende METRO Karte mit Deinem neuen digitalen Profil zu verknüpfen.     Du kannst Deine Bestellung auch ganz bequem über die METRO App aufgeben:  App herunterladen      Produkte suchen: Nutze die Suchleiste oder die Kategorien, um Deine gewünschten Artikel zu finden.  In den Warenkorb legen: Klicke auf das Einkaufswagen-Symbol neben dem Produkt.  Bestellung abschließen: Gehe zum Warenkorb und von dort aus ""zur Kasse"". Folge den Schritten, um deine Bestellung abzusenden.  Bestellung verfolgen: Im Bereich „Meine Bestellungen“ kannst Du den Status Deiner Lieferung jederzeit einsehen.",Im M.Shop ist mir der Bestellvorgang unklar.,keinFrage
Wie kann ich mein Passwort zurücksetzen oder ändern?,"Wähle auf der Login-Seite die Option „Passwort vergessen“ – entweder auf der Webseite oder in der App.   Gib Deine E-Mail-Adresse ein und folge den Anweisungen.     Falls das nicht funktioniert, wende Dich direkt an den Eingang Deines METRO Marktes oder wende dich an unser Service Center: Kontakt",Mein Passwort funktioniert nicht mehr und ich muss es ändern.,keinFrage
Wie kann ich mein Passwort zurücksetzen oder ändern?,"Wähle auf der Login-Seite die Option „Passwort vergessen“ – entweder auf der Webseite oder in der App.   Gib Deine E-Mail-Adresse ein und folge den Anweisungen.     Falls das nicht funktioniert, wende Dich direkt an den Eingang Deines METRO Marktes oder wende dich an unser Service Center: Kontakt",Ich habe mein Passwort vergessen und benötige eine neue Einstellung.,keinFrage
Was ist der Unterschied zwischen Gastro und Klassik Märkten?,"Im Gegensatz zu den METRO Klassik Märkten erwartet Dich in unseren METRO GASTRO Märkten ein fokussiertes Sortiment für die Bereiche Hotellerie, Gastronomie und Catering sowie bestimmte Zielgruppen wie Metzger und Kioske.  Entdecke unser Kernsortiment im Bereich Food mit Produkten, welche speziell auf die Bedürfnisse der verschiedenen Kundengruppen zugeschnitten. Dieses wird ergänzt um Non-Food-Profiartikel für den täglichen Bedarf.  Entdecke außerdem in unseren METRO GASTRO Märkten spezielle Produkte, Services und Angebote für Deinen gewerblichen Verbrauch. Frage einfach in Deinem METRO GASTRO Markt nach den speziellen Services für Deine Zielgruppe.  Weitere Informationen findest Du hier.",Gastro- und Klassikmärkte haben unterschiedliche Ausrichtungen.,keinFrage
Was ist der Unterschied zwischen Gastro und Klassik Märkten?,"Im Gegensatz zu den METRO Klassik Märkten erwartet Dich in unseren METRO GASTRO Märkten ein fokussiertes Sortiment für die Bereiche Hotellerie, Gastronomie und Catering sowie bestimmte Zielgruppen wie Metzger und Kioske.  Entdecke unser Kernsortiment im Bereich Food mit Produkten, welche speziell auf die Bedürfnisse der verschiedenen Kundengruppen zugeschnitten. Dieses wird ergänzt um Non-Food-Profiartikel für den täglichen Bedarf.  Entdecke außerdem in unseren METRO GASTRO Märkten spezielle Produkte, Services und Angebote für Deinen gewerblichen Verbrauch. Frage einfach in Deinem METRO GASTRO Markt nach den speziellen Services für Deine Zielgruppe.  Weitere Informationen findest Du hier.",Es gibt klare Unterschiede zwischen den Märkten für Gastronomie und Klassik.,keinFrage
Wo finde ich mein Online-Kundenkonto?,Du kannst Dich oben rechts über den Login-Button in Deinem myMETRO Kundenkonto einloggen.,Mein Online-Konto ist nirgendwo zu finden.,keinFrage
Wo finde ich mein Online-Kundenkonto?,Du kannst Dich oben rechts über den Login-Button in Deinem myMETRO Kundenkonto einloggen.,Ich muss meine Kontoinformationen im Internet abrufen.,keinFrage
Wie kann ich mein Geschäft digitalisieren?,"Auf unserer zentralen Plattform ""DISH"" findest Du die passenden digitalen Lösungen für Dein Geschäft, um Deine Margen zu erhöhen und Deine digitale Präsenz zu steigern.      Ausführliche Informationen findest Du hier.",Mein Geschäft soll endlich ins digitale Zeitalter eintreten.,keinFrage
Wie kann ich mein Geschäft digitalisieren?,"Auf unserer zentralen Plattform ""DISH"" findest Du die passenden digitalen Lösungen für Dein Geschäft, um Deine Margen zu erhöhen und Deine digitale Präsenz zu steigern.      Ausführliche Informationen findest Du hier.",Ich möchte meine Kunden online besser erreichen.,keinFrage
Wie kann ich meine E-Mail-Adresse ändern?,"Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Dein Profil und danach auf E-Mail-Adresse.  Dort kannst Du Deine E-Mail-Adresse ändern, indem Du die neue E-Mail-Adresse in dem Feld einträgst und danach unterhalb des Feldes auf die Fläche ""Änderung speichern"" klickst.",Meine aktuelle E-Mail-Adresse ist nicht mehr gültig.,keinFrage
Wie kann ich meine E-Mail-Adresse ändern?,"Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Dein Profil und danach auf E-Mail-Adresse.  Dort kannst Du Deine E-Mail-Adresse ändern, indem Du die neue E-Mail-Adresse in dem Feld einträgst und danach unterhalb des Feldes auf die Fläche ""Änderung speichern"" klickst.",Ich benötige eine neue E-Mail-Adresse für mein Konto.,keinFrage
Wo finde ich die Standorte der METRO Großmärkte?,Die Standorte unserer Großmärkte findest Du bequem über unsere Standort-Suche: www.metro.de/standorte,Die Adressen der METRO Großmärkte sind mir unbekannt.,keinFrage
Wo finde ich die Standorte der METRO Großmärkte?,Die Standorte unserer Großmärkte findest Du bequem über unsere Standort-Suche: www.metro.de/standorte,Ich benötige Informationen über die METRO-Standorte.,keinFrage
Welche Liefergebiete gibt es?,Wir liefern national im deutschen Festland.,"Es ist unklar, in welche Gebiete geliefert wird.",keinFrage
Welche Liefergebiete gibt es?,Wir liefern national im deutschen Festland.,Eine Liste aller Liefergebiete wäre hilfreich.,keinFrage
"Wie kann ich eine andere Person bevollmächtigen, einmalig oder mehrmalig für mein Unternehmen einzukaufen?",Alle Informationen zum Thema einmalige (= Tagesvollmacht / temporäre Vollmacht ) oder dauerhafte Bevollmächtigung (= zusätzliche Kundenkarten) findest Du hier: https://www.metro.de/kunde/einkaufsvollmacht,"Ich möchte jemand anderen damit beauftragen, Einkäufe für mein Unternehmen zu tätigen.",keinFrage
"Wie kann ich eine andere Person bevollmächtigen, einmalig oder mehrmalig für mein Unternehmen einzukaufen?",Alle Informationen zum Thema einmalige (= Tagesvollmacht / temporäre Vollmacht ) oder dauerhafte Bevollmächtigung (= zusätzliche Kundenkarten) findest Du hier: https://www.metro.de/kunde/einkaufsvollmacht,Eine Person soll stellvertretend für mich Geschäfte für mein Unternehmen abwickeln.,keinFrage
Kann ich Kunde werden?,"Ja, folgende Möglichkeiten hast Du um bei METRO einzukaufen:       Als Geschäftskunde kannst Du im METRO Markt und im Onlineshop einkaufen   Als Privatkunde kannst Du im METRO Onlineshop einkaufen       Weitere Informationen um Kunde zu werden findest Du hier.",Ich möchte Ihre Dienstleistungen in Anspruch nehmen.,keinFrage
Kann ich Kunde werden?,"Ja, folgende Möglichkeiten hast Du um bei METRO einzukaufen:       Als Geschäftskunde kannst Du im METRO Markt und im Onlineshop einkaufen   Als Privatkunde kannst Du im METRO Onlineshop einkaufen       Weitere Informationen um Kunde zu werden findest Du hier.",Ich habe Interesse an einer Zusammenarbeit.,keinFrage
Wie kann ich meine digitale Karte in der App aktivieren?,"Wenn Du bereits eine Plastikkarte besitzt, kannst Du Deine digitale METRO Karte einfach selbst direkt in der App aktivieren. Klicke dazu auf die Schaltfläche „Unternehmen hinzufügen“ und scanne den Barcode Deiner METRO Plastikkarte einfach mit der Kamera des Smartphones ab. Anschließend wirst Du gebeten ein Foto hinzuzufügen. Hierfür kannst Du ein Foto mit Deiner Kamera erstellen oder wähle ein bestehendes Foto aus Deinem Album aus.",Meine digitale Karte in der App ist noch nicht aktiv.,keinFrage
Wie kann ich meine digitale Karte in der App aktivieren?,"Wenn Du bereits eine Plastikkarte besitzt, kannst Du Deine digitale METRO Karte einfach selbst direkt in der App aktivieren. Klicke dazu auf die Schaltfläche „Unternehmen hinzufügen“ und scanne den Barcode Deiner METRO Plastikkarte einfach mit der Kamera des Smartphones ab. Anschließend wirst Du gebeten ein Foto hinzuzufügen. Hierfür kannst Du ein Foto mit Deiner Kamera erstellen oder wähle ein bestehendes Foto aus Deinem Album aus.","Ich möchte meine digitale Karte in der App nutzen, aber sie funktioniert nicht.",keinFrage
Wo finde ich die Rabatt-Coupons und aktuelle Aktionen in der App?,Wähle den Navigationspunkt „Home“ klicke auf „App Coupons“. Dort findest Du Deine Coupons und kannst sie für Deinen nächsten Einkauf aktivieren.,Ich benötige Informationen über aktuelle Angebote in der App.,keinFrage
Wo finde ich die Rabatt-Coupons und aktuelle Aktionen in der App?,Wähle den Navigationspunkt „Home“ klicke auf „App Coupons“. Dort findest Du Deine Coupons und kannst sie für Deinen nächsten Einkauf aktivieren.,"Ich möchte wissen, wo ich die Sparangebote in der App finde.",keinFrage
Wo finde ich die Öffnungszeiten der METRO Großmärkte?,Die Öffnungszeiten unserer Großmärkte findest Du bequem über unsere Standort-Suche:  https://www.metro.de/standorte,Ich benötige die aktuellen Öffnungszeiten der METRO Märkte.,keinFrage
Wo finde ich die Öffnungszeiten der METRO Großmärkte?,Die Öffnungszeiten unserer Großmärkte findest Du bequem über unsere Standort-Suche:  https://www.metro.de/standorte,METRO Öffnungszeiten sind gesucht.,keinFrage
Wie werde ich Lieferkunde?,Ganz einfach: Fülle das Formular zur Anmeldung für den METRO Lieferservice aus. Unser Team meldet sich bei Dir und begleitet Dich durch den Anmeldeprozess.  Bitte beachte: Der METRO Lieferservice richtet sich ausschließlich an Gastronomie- und Lebensmittelprofis.,Eine Anmeldung als Kunde wäre hilfreich.,keinFrage
Wie werde ich Lieferkunde?,Ganz einfach: Fülle das Formular zur Anmeldung für den METRO Lieferservice aus. Unser Team meldet sich bei Dir und begleitet Dich durch den Anmeldeprozess.  Bitte beachte: Der METRO Lieferservice richtet sich ausschließlich an Gastronomie- und Lebensmittelprofis.,Ich benötige Zugang zu Ihrem Lieferprogramm.,keinFrage
Warum kann ich meine Rechnungen nicht durchsuchen und nach Artikeln sortieren?,"Dies ist aktuell leider noch nicht möglich. Wir bemühen uns aber, die App stetig zu verbessern.",Die Sortierung meiner Rechnungen nach Artikeln wäre ein enormer Zeitgewinn.,keinFrage
